Bonds,,Date,XS0204395213,XS1084568762,XS1167308128,XS1048518358,XS0431928760
,,3/1/2021,NA,NA,102.614,NA,NA
,,3/2/2021,NA,NA,102.649,NA,NA
,,3/3/2021,NA,NA,102.642,NA,NA
,,3/4/2021,NA,NA,102.616,NA,NA
,,3/5/2021,NA,NA,102.502,NA,NA
,,3/8/2021,NA,NA,102.594,NA,NA
,,3/9/2021,NA,NA,102.576,NA,NA
,,3/10/2021,NA,NA,102.576,NA,NA
,,3/11/2021,NA,NA,102.445,NA,NA
,,3/12/2021,NA,NA,102.546,NA,NA
,,3/15/2021,NA,NA,102.536,NA,NA
,,3/16/2021,NA,NA,102.538,NA,NA
,,3/17/2021,NA,NA,102.524,NA,NA
,,3/18/2021,NA,NA,102.507,NA,NA
,,3/19/2021,NA,NA,102.496,NA,NA
,,3/22/2021,NA,NA,102.494,NA,NA
,,3/23/2021,NA,NA,102.484,NA,NA
,,3/24/2021,NA,NA,102.456,NA,NA
,,3/25/2021,NA,NA,102.424,NA,NA
,,3/26/2021,NA,NA,102.424,NA,NA
,,3/29/2021,NA,NA,102.405,NA,NA
,,3/30/2021,NA,NA,102.407,NA,NA
,,3/31/2021,NA,NA,102.389,NA,NA
,,4/1/2021,NA,NA,102.397,NA,NA
,,4/2/2021,NA,NA,102.384,NA,NA
,,4/5/2021,NA,NA,102.384,NA,NA
,,4/6/2021,NA,NA,102.39,NA,NA
,,4/7/2021,NA,NA,102.367,NA,NA
,,4/8/2021,NA,NA,102.325,NA,NA
,,4/9/2021,NA,NA,102.355,NA,NA
,,4/12/2021,NA,NA,102.354,NA,NA
,,4/13/2021,NA,NA,102.355,NA,NA
,,4/14/2021,NA,NA,102.341,NA,NA
,,4/15/2021,NA,NA,102.323,NA,NA
,,4/16/2021,NA,NA,102.282,NA,NA
,,4/19/2021,NA,NA,102.284,NA,NA
,,4/20/2021,NA,NA,102.293,NA,NA
,,4/21/2021,NA,NA,102.281,NA,NA
,,4/22/2021,NA,NA,102.261,NA,NA
,,4/23/2021,NA,NA,102.245,NA,NA
,,4/26/2021,NA,NA,102.232,NA,NA
,,4/27/2021,NA,NA,102.234,NA,NA
,,4/28/2021,NA,NA,102.217,NA,NA
,,4/29/2021,NA,NA,102.193,NA,NA
,,4/30/2021,NA,NA,102.163,NA,NA
,,5/3/2021,NA,NA,102.157,NA,NA
,,5/4/2021,NA,NA,102.178,NA,NA
,,5/5/2021,NA,NA,102.134,NA,NA
,,5/6/2021,NA,NA,102.144,NA,NA
,,5/7/2021,NA,NA,102.126,NA,NA
,,5/10/2021,NA,NA,102.109,NA,NA
,,5/11/2021,NA,NA,102.099,NA,NA
,,5/12/2021,NA,NA,102.084,NA,NA
,,5/13/2021,NA,NA,102.067,NA,NA
,,5/14/2021,NA,NA,102.052,NA,NA
,,5/17/2021,NA,NA,102.042,NA,NA
