Bonds,,Date,DE000A14J587,XS0214238239,DE000A1MA9H4,DE000A1R08U3
,,4/24/2020,93.6,NA,NA,NA
,,4/27/2020,92.61,NA,NA,NA
,,4/28/2020,93.022,NA,NA,NA
,,4/29/2020,93.132,NA,NA,NA
,,4/30/2020,93.126,NA,NA,NA
,,5/1/2020,93.347,NA,NA,NA
,,5/4/2020,89.531,NA,NA,NA
,,5/5/2020,89.368,NA,NA,NA
,,5/6/2020,89.298,NA,NA,NA
,,5/7/2020,88.68,NA,NA,NA
,,5/8/2020,88.27,NA,NA,NA
,,5/11/2020,88.166,NA,NA,NA
,,5/12/2020,84.426,NA,NA,NA
,,5/13/2020,83.754,NA,NA,NA
,,5/14/2020,80.511,NA,NA,NA
,,5/15/2020,81.466,NA,NA,NA
,,5/18/2020,85.111,NA,NA,NA
,,5/19/2020,89.088,NA,NA,NA
,,5/20/2020,89.624,NA,NA,NA
,,5/21/2020,89.575,NA,NA,NA
,,5/22/2020,89.786,NA,NA,NA
,,5/25/2020,90.655,NA,NA,NA
,,5/26/2020,90.586,NA,NA,NA
,,5/27/2020,91.087,NA,NA,NA
,,5/28/2020,91.224,NA,NA,NA
,,5/29/2020,91.23,NA,NA,NA
,,6/1/2020,92.25,NA,NA,NA
,,6/2/2020,91.338,NA,NA,NA
,,6/3/2020,91.905,NA,NA,NA
,,6/4/2020,92.929,NA,NA,NA
,,6/5/2020,93.4,NA,NA,NA
,,6/8/2020,94.776,NA,NA,NA
,,6/9/2020,94.561,NA,NA,NA
,,6/10/2020,94,NA,NA,NA
,,6/11/2020,93.736,NA,NA,NA
,,6/12/2020,93.533,NA,NA,NA
,,6/15/2020,93.054,NA,NA,NA
,,6/16/2020,94.415,NA,NA,NA
,,6/17/2020,94.414,NA,NA,NA
,,6/18/2020,93.961,NA,NA,NA
,,6/19/2020,93.917,NA,NA,NA
,,6/22/2020,93.733,NA,NA,NA
,,6/23/2020,93.54,NA,NA,NA
,,6/24/2020,93.812,NA,NA,NA
,,6/25/2020,93.671,NA,NA,NA
,,6/26/2020,94.76,NA,NA,NA
,,6/29/2020,93.77,NA,NA,NA
,,6/30/2020,93.863,NA,NA,NA
,,7/1/2020,93.417,NA,NA,NA
,,7/2/2020,93.446,NA,NA,NA
,,7/3/2020,93.647,NA,NA,NA
,,7/6/2020,93.507,NA,NA,NA
,,7/7/2020,93.41,NA,NA,NA
,,7/8/2020,93.269,NA,NA,NA
,,7/9/2020,93.237,NA,NA,NA
,,7/10/2020,93.096,NA,NA,NA
,,7/13/2020,93.112,NA,NA,NA
,,7/14/2020,92.975,NA,NA,NA
,,7/15/2020,93.084,NA,NA,NA
,,7/16/2020,93.13,NA,NA,NA
,,7/17/2020,93.24,NA,NA,NA
,,7/20/2020,93.03,NA,NA,NA
,,7/21/2020,93.151,NA,NA,NA
,,7/22/2020,93.266,NA,NA,NA
,,7/23/2020,93.554,NA,NA,NA
,,7/24/2020,93.522,NA,NA,NA
,,7/27/2020,93.765,NA,NA,NA
,,7/28/2020,93.861,NA,NA,NA
,,7/29/2020,95.12,NA,NA,NA
,,7/30/2020,93.923,NA,NA,NA
,,7/31/2020,94.011,NA,NA,NA
,,8/3/2020,94.38,NA,NA,NA
,,8/4/2020,94.68,NA,NA,NA
,,8/5/2020,94.8,NA,NA,NA
,,8/6/2020,94.86,NA,NA,NA
,,8/7/2020,94.87,NA,NA,NA
,,8/10/2020,95.11,NA,NA,NA
,,8/11/2020,95.58,NA,NA,NA
,,8/12/2020,96.15,NA,NA,NA
,,8/13/2020,94.93,NA,NA,NA
,,8/14/2020,93.769,NA,NA,NA
,,8/17/2020,93.62,NA,NA,NA
,,8/18/2020,93.9,NA,NA,NA
,,8/19/2020,93.9,NA,NA,NA
,,8/20/2020,93.54,NA,NA,NA
,,8/21/2020,93.51,NA,NA,NA
,,8/24/2020,93.76,NA,NA,NA
,,8/25/2020,94.3,NA,NA,NA
,,8/26/2020,94.51,NA,NA,NA
,,8/27/2020,94,NA,NA,NA
,,8/28/2020,94.149,NA,NA,NA
,,8/31/2020,94,NA,NA,NA
,,9/1/2020,94.47,NA,NA,NA
,,9/2/2020,95.02,NA,NA,NA
,,9/3/2020,95.65,NA,NA,NA
,,9/4/2020,95.129,NA,NA,NA
,,9/7/2020,95.12,NA,NA,NA
,,9/8/2020,95.51,NA,NA,NA
